Block wise Ground Water Resources Data of Puri District (In ham) of 2020

Block/Mandal/Taluka,Annual Replenishable Groundwater Resources (Total),Natural Discharge During Non-Monsoon Season,Net Groundwater Availability,Irrigation Draft,Domestic and Industry Draft,Total Draft,Stage of Goundwater Development (%)
"Astarang","4178.770","307.970","3870.800","2155.400","145.382","2300.770","59.439",
"Brahmagiri","6815.100","429.500","6385.600","2974.400","312.499","3286.900","51.474",
"Delang","5710.790","571.080","5139.710","2538.250","309.895","2848.150","55.415",
"Gop","7837.880","391.890","7445.990","3161.210","422.765","3583.970","48.133",
"Kakatpur","5080.460","508.060","4572.400","2755.480","221.143","2976.610","65.100",
"Kanas","5789.210","578.920","5210.290","2234.440","359.979","2594.420","49.794",
"Nimapara","9605.620","580.730","9024.890","3314.480","549.277","3863.770","42.812",
"Pipili","6841.400","574.720","6266.680","3205.540","477.249","3682.790","58.768",
"Puri","6944.250","488.850","6455.400","2194.140","1607.991","3802.110","58.898",
"Satyabadi","4528.370","399.180","4129.190","712.270","302.254","1014.520","24.569",
"Krushnaprasad","1101.460","55.070","1046.390","294.840","138.149","432.990","41.379",
