Block wise Ground Water Resources Data of Solapur District (In ham) of 2020

Block/Mandal/Taluka,Annual Replenishable Groundwater Resources (Total),Natural Discharge During Non-Monsoon Season,Net Groundwater Availability,Irrigation Draft,Domestic and Industry Draft,Total Draft,Stage of Goundwater Development (%)
"Akkalkot","13895.283","694.760","13200.523","6991.369","501.376","7492.729","56.761",
"Barshi","10752.853","537.649","10215.203","7636.347","466.229","8102.572","79.319",
"Karmala","12176.900","608.838","11568.062","7983.249","377.969","8361.207","72.278",
"Madha","16598.879","829.961","15768.918","12339.477","514.652","12854.151","81.516",
"Malshiras","20514.724","1025.745","19488.979","19183.810","613.743","19797.566","101.583",
"Mangalwedha","9148.866","457.452","8691.414","6466.083","300.934","6767.032","77.859",
"Mohol","14207.272","744.538","13462.734","11466.548","480.214","11946.760","88.739",
"N.Solapur","6600.194","330.015","6270.179","3997.775","210.909","4208.676","67.122",
"Pandharpur","14986.857","749.341","14237.516","10391.282","410.883","10802.160","75.871",
"S.Solapur","11090.859","554.548","10536.311","6365.696","367.273","6732.975","63.903",
"Sangola","15232.313","761.613","14470.701","10103.112","621.550","10724.652","74.113",
